perfil_id,posicao
0,CEO AND FOUNDER
1,PRODUCT MANAGER
2,FULL STACK DEVELOPER
3,CRM ANALYST
4,SALES OPERATIONS COORDINATOR
5,KEY ACCOUNT MANAGER
6,"SOFTWARE ENGINEER AND DATA SCIENTIST, DATA ENGINEER"
7,APREDIZ ADMINISTRATIVO
8,FOUNDER AND CFO
9,SALES OPERATIONS MANAGER
10,HEAD OF IN-STORE OPERATION
11,"PEOPLE CONSULTANT, KEY ACCOUNT MANAGER"
12,"OPERACOES ERP, TIME DE EXPANSAO"
13,ESTAGIARIA DE CRM
14,PRODUCT MANAGER
15,KEY ACCOUNT
16,HEAD OF PEOPLE
17,"PUBLIC RELATIONS INTERN, CUSTOMER SUCCESS INTERN"
18,TRADE MARKETING ANALYST
19,CUSTOMER SUCCESS - INTERN
20,TIME DE EXPANSAO
21,ONBOARDING COORDINATOR
22,ANALISTA DE DP
23,DIRETORA DE ARTE
24,ENGENHEIRO DE SOFTWARE
25,COSTOMER SUCCESS
26,CUSTOMER SUCESS ANALYST
27,ESTAGIARIA DE CUSTOMER SUCCESS
28,COORDENADORA DE BRANDING
29,LEAD SOFTWARE DEVELOPER
30,CUSTOMER SUCCESS
31,FULL STACK ENGINEER
32,"KEY ACCOUNT MANAGER, BUSINESS SALES EXECUTIVE"
33,"LEAD PRODUCT DESIGNER, PARTNER"
34,PRODUCT MANAGER
35,ENGENHEIRO DE SOFTWARE SENIOR
36,CUSTOMER SUCCESS
37,SOFTWARE DEVELOPER
38,"ARQUITETO DE SOLUCOES, ENGENHEIRO DE SOFTWARE"
39,BUSINESS INTELLIGENCE AND DATA ANALYST
40,TECH LEADER
41,"ANALISTA FINANCEIRO, ESTAGIARIA DE FINANCAS"
42,ANALISTA FINANCEIRO
43,ANALISTA DE CONTROLADORIA
44,SOFTWARE ARCHITECT
45,DESENVOLVEDOR JUNIOR
46,SOFTWARE DEVELOPER
47,TALENT ACQUISITION
48,GESTORA DO TIME DE PESSOAS - RESPONSAVEL POR R&S E T&D
49,SENIOR UX DESIGNER
50,DIRECTOR OF MARKETING
51,COO
52,PRODUCT GROWTH MANAGER
53,CREATIVE DESIGNER
54,HEAD OF CUSTOMER SUCCESS
55,PURCHASING ANALYST
56,ESTAGIO EM MARKETING CRM
57,COORDENADORA DE CS
58,ANALISTA DE DP
59,ESTAGIARIA DO FINANCEIRO
60,HEAD OF DATA ANALYTICS
61,COMMERCIAL ANALYST
62,HEAD OF COMMERCIAL
63,ANALISTA DE TECNOLOGIA DA INFORMACAO
64,ANALISTA FINANCEIRO
65,"PEOPLE CONSULTANT, PROGRAMADOR FRONT END"
66,BUSINESS DEVELOPMENT MANAGER
67,CUSTOMER SUCCESS
68,HEAD OF TROJAN TECHNOLOGIES IN-STORE
69,TRADE MARKETING
70,SALES OPERATIONS ANALYST
71,ESTAGIARIA DE MARKETING
72,COORDENADOR DE MARKETING
73,ANDROID DEVELOPER
74,COMMERCIAL
75,GERENTE DE OPERACOES
76,TRADE MARKETING
77,KEY ACCOUNT MANAGER
78,HEAD OF PRODUCT DESIGN - UXP
79,LEAD SOFTWARE DEVELOPER
80,SOFTWARE TEST DEVELOPER II
81,FINANCE DIRECTOR
82,DESENVOLVEDOR JR
83,DESENVOLVEDOR JUNIOR
84,DESENVOLVEDOR PLENO I
85,IOS DEVELOPER
86,SOFTWARE DEVELOPER
87,DESENVOLVEDORA DE SOFTWARE
88,SOFTWARE DEVELOPER
89,TIME DE EXPANSAO LOCAL
90,DATA ENGINEER BI AND DATA ANALYST
91,ESPECIALISTA EM MARKETING DE PERFORMANCE
92,ANALISTA DE ATENDIMENTO
93,EXECUTIVO DE VENDAS
94,HEAD OF SALES
95,HEAD OF STRATEGY
96,BUSINESS DEVELOPER + PRODUCT MANAGER
97,EXECUTIVO COMERCIAL SENIOR
98,INSIDE SALES
99,GERENTE REGIONAL RIO DE JANEIRO
100,COORDENADOR COMERCIAL
101,GERENTE COMERCIAL SAO PAULO
102,EXECUTIVA DE CONTAS
103,GERENTE COMERCIAL E OPERACOES REGIONAL CENTRO-OESTE
104,SALES EXECUTIVE
105,SOFTWARE ARCHITECT
106,EXECUTIVO DE VENDAS
107,ANALISTA DE MARKETING
109,GERENTE REGIONAL SUL
110,SOFTWARE DEVELOPER
