perfil_id,qtd_habilidades,qtd_endossos
0,33,1600
1,28,314
2,47,117
3,9,14
4,11,103
5,29,127
6,23,126
7,5,0
8,50,1171
9,47,328
10,18,95
11,20,231
12,10,62
13,8,54
14,8,34
16,15,33
17,12,17
18,6,9
19,10,6
21,21,79
22,12,52
23,7,9
24,35,39
29,40,405
30,4,0
31,43,297
32,18,25
33,20,225
34,25,90
35,50,485
36,7,20
37,16,141
38,29,95
39,39,119
40,22,128
42,11,0
43,24,36
44,47,218
45,13,10
46,9,0
47,18,35
49,36,368
50,40,489
51,11,156
52,50,661
53,22,224
54,17,108
55,16,119
56,5,24
57,21,360
58,21,184
59,18,89
60,47,701
61,13,9
62,25,469
63,23,368
64,11,23
65,20,86
66,44,270
67,9,50
68,16,118
69,10,101
70,22,122
71,11,30
72,21,173
73,6,8
74,32,234
75,17,59
76,6,19
77,30,199
78,34,388
79,19,385
80,41,224
81,8,68
82,27,40
83,19,35
84,12,48
85,6,16
86,34,137
87,4,15
88,26,109
89,6,1
90,45,198
91,27,315
93,24,127
94,16,180
95,11,93
96,26,253
97,24,106
98,10,24
99,21,72
100,50,303
101,8,105
102,13,35
103,37,195
104,23,27
105,28,163
106,13,54
107,7,14
109,39,283
